id,Operator
1,Military - U.S. Army
2,Military - U.S. Navy
3,Private
4,Military - German Navy
5,Military - German Navy
6,Military - German Navy
7,Military - German Navy
8,Military - German Army
9,Military - German Navy
10,Military - German Navy
11,Military - German Army
12,Military - German Navy
13,Military - German Army
14,Military - German Navy
15,Military - German Navy
16,Military - German Navy
17,Military - German Navy
18,Military - German Navy
19,Military - German Navy
20,Military - German Navy
21,Military - German Navy
22,US Aerial Mail Service
23,US Aerial Mail Service
24,US Aerial Mail Service
25,Aircraft Transport and Travel
26,US Aerial Mail Service
27,Aircraft Transport and Travel
28,US Aerial Mail Service
29,US Aerial Mail Service
30,US Aerial Mail Service
31,US Aerial Mail Service
32,US Aerial Mail Service
33,US Aerial Mail Service
34,US Aerial Mail Service
35,By Air
36,US Aerial Mail Service
37,US Aerial Mail Service
38,US Aerial Mail Service
39,US Aerial Mail Service
40,Latecoere Airlines
41,Latecoere Airlines
42,US Aerial Mail Service
43,US Aerial Mail Service
44,Handley Page Transport
45,Aeropostale
46,US Aerial Mail Service
47,US Aerial Mail Service
48,Aeropostale
49,US Aerial Mail Service
50,Military - Royal Australian Air Force
51,US Aerial Mail Service
52,US Aerial Mail Service
53,US Aerial Mail Service
54,US Aerial Mail Service
55,Aeropostale
56,Military - Royal Airship Works
57,Franco-Roumaine
58,West Australian Airways
59,Handley Page Transport
60,Military - U.S. Army Air Service
61,Daimler Airways / Grands Express Aeriens
62,
63,Vickers
64,US Aerial Mail Service
65,Cie des Messageries Aeriennes
66,Grands Express Aeriens
67,US Aerial Mail Service
68,
69,Grands Express Aeriens
70,Grands Express Aeriens
71,Amee de l'Air
72,Grands Express Aeriens
73,US Aerial Mail Service
74,US Aerial Mail Service
75,Grands Express Aeriens
76,Campagnie France Roumaine
77,US Aerial Mail Service
78,Daimler Airways
79,CCCP
80,US Aerial Mail Service
81,Military - French Navy
82,US Aerial Mail Service
83,US Aerial Mail Service
84,KLM Royal Dutch Airlines
85,SCADTA
86,US Aerial Mail Service
87,Grands Express Aeriens
88,US Aerial Mail Service
89,Imperial Airways
90,Zakavia
91,Grands Express Aeriens
92,Lignes Aeriennes Latecoere
93,KLM Royal Dutch Airlines
94,Grands Express Aeriens
95,Lignes Aeriennes Latecoere
96,CIDNA
97,Military - U.S. Navy
98,CIDNA
99,Air Union
100,US Aerial Mail Service
101,Deutche Lufthansa
102,Air Union
103,Compagnie Internationale de Navigation Aérienne
104,KLM Royal Dutch Airlines
105,Deutsche Lufthansa
106,Air Union
107,
108,Deutsche Lufthansa
109,Imperial Airways
110,Grands Express Aeriens
111,PacifiAir Transport
112,KLM Royal Dutch Airlines
113,Grands Express Aeriens
114,Qantas
115,Varney Air Lines
116,US Aerial Mail Service
117,Deutsche Lufthansa
118,Air Union
119,Deutsche Lufthansa
120,KLM Royal Dutch Airlines
121,Colonial Air Transport
122,Reynolds Airways
123,Deutsche Lufthansa
124,Deutsche Lufthansa
125,Lignes Aeriennes Latecoere
126,Colonial Air Transport
127,CIDNA
128,Aero O-Y
129,National Air Transport
130,Aeropostale
131,Aeropostale
132,Latecoere Airlines
133,Colonial Western Airlines
134,Aeropostale
135,Aeropostale
136,Aeropostale
137,Aeropostale
138,Boeing Air Transport
139,
140,Air Union
141,Boeing Air Transport
142,Iberia Airlines
143,Aeropostale
144,Ford Air Freight Inc.
145,Deutsche Lufthansa
146,Deutsche Lufthansa
147,National Air Transport
148,Aero O-Y
149,Imperial Airways
150,KLM Royal Dutch Airlines
151,British Columbia Airways
152,CIDNA
153,Qantas
154,National Parks Airways
155,Deutsche Lufthansa
156,Aeropostale
157,National Air Transport
158,Air Union
159,Aeropostale
160,Universal Airlines
161,National Air Transport
162,Continental Air Lines
163,Sunbeam Air Transport Co.
164,Syndicato Condor
165,
166,Deutsche Lufthansa
167,National Air Transport
168,Interstate Airlines
169,CIDNA
170,Colonial Air Transport
171,Varney Air Lines
172,Aeroespresso
173,Skyline Transportation Company
174,Aeropostale
175,Colonial Western Airlines
176,New Standard Airlines
177,Maddux Airlines / Military - U.S.Army Air Force
178,MALERT
179,Aeropostale
180,Pan American Airways
181,Aeropostale
182,Imperial Airways
183,Northwest Orient Airlines
184,Aero Lloyd
185,Continental Air Lines
186,Middle States Airlines
187,Aeropostale
188,Ukvozduchput
189,Deutsche Lufthansa
190,Associated Aviators
191,Trans Continental Air Transport
192,Imperial Airways
193,Aeropostale
194,Pickwick Airways
195,Colonial Air Transport
196,Imperial Airways
197,Continental Air Lines
198,Bremerton-Seattle Air Taxi / Gorst Air Lines
199,Corp. Aeronautica de Transportes
200,Deutsche Lufthansa
201,Air Union
202,Varney Air Lines
203,National Air Transport
204,Aeropostale
205,Deutsche Lufthansa
206,Trans Continental Air Transport
207,Boeing Air Transport
208,Air Orient
209,Maddux Airlines
210,Aeropostale
211,Central  Airlines
212,Colonial Air Transport
213,Air Union
214,Canadian Colonial Airways
215,Aeropostale
216,Colonial Air Transport
217,Deutsche Lufthansa
218,Cross Airways
219,Ceskoslovenske Aerolinie
220,Sabena
221,Western Canada Airways
222,Military - British Air Ministry
223,Deutsche Lufthansa
224,Aeropostale
225,Alaska-Washington Airways
226,Imperial Airways
227,Embry Riddle Company
228,Syndicato Condor
229,PacifiAir Transport
230,China National Aviation Corporation
231,Sabena
232,Varney Air Lines
233,Dominion Air Lines
234,Western Canada Airways
235,Aeropostale
236,Australian National Airways
237,Trans Continental and Western Air
238,Deutsche Lufthansa
239,PacifiAir Transport
240,Guiena Airways
241,National Air Transport
242,Air Orient
243,Rubner Flying Service
244,Deutsche Lufthansa
245,Braniff Airlines
246,Australian Aerial Services
247,American Airways
248,CIDNA
249,American Airways
250,Chicago-Detroit Airways
251,PacifiAir Transport
252,Deutsche Lufthansa
253,Syndicato Condor
254,"NY, Phil., Washington AW"
255,Union Airways
256,Boeing Air Transport
257,China National Aviation Corporation
258,Varney Air Lines
259,Braniff Airways
260,KLM Royal Dutch Airlines
261,Aeropostale
262,American Airways
263,Northwest Airways
264,Century PacifiLines
265,Bimini Airways
266,Transamerican Airlines
267,Boeing Air Transport
268,Aeropostale
269,Century Air Lines
270,American Airways
271,Trans Continental and Western Air
272,Air Orient
273,National Air Transport
274,Transamerica Airlines
275,Varney Air Lines
276,PacifiAir Transport
277,Panagra
278,Air Orient
279,A B Aerotransport
280,American Airways
281,Air Union
282,New England Airways
283,Aeropostale
284,Lloyd Aero Boliviano
285,Deutsche Lufthansa
286,Deutsche Lufthansa
287,Hunter Airways
288,Trans Continental and Western Air
289,Boeing Air Transport
290,Guinea Airways
291,Aeropostale
292,Eastern Air Transport
293,American Airways
294,American Airways
295,PacifiAir Transport
296,Pan American Grace Airways
297,Varney Airlines
298,Imperial Airways
299,Deutsche Lufthansa
300,Military - U.S. Navy
301,Air Orient
302,Eurasia
303,Aeropostale - La Tecoere Company
304,Eastern Air Transport
305,Trans Continental and Western Air
306,Aeroput
307,United Air Lines
308,Air France
309,United Air Lines
310,Trans Continental and Western Air
311,China National Aviation Corporation
312,Kalinin
313,National Air Transport
314,Deutsche Lufthansa
315,Union Airways
316,Imperial Airways
317,Air France
318,Air France
319,Boeing Aircraft Company
320,Air France
321,American Airways
322,Pan American Airways (Scadta)
323,Pan American Grace Airlines
324,China National Aviation Corporation
325,Air France
326,Air France
327,American Airways
328,Panagra
329,Deutsche Lufthansa
330,Aerevias Centrales Air Service
331,United Air Services
332,Swissair
333,Air France
334,China National Aviation Corporation
335,Rapid Air Transport
336,Qantas
337,Holyman Airways
338,Holdens Air Transport Service
339,Qantas
340,Qantas
341,Rapid Air Transport
342,Deutsche Lufthansa
343,Braniff Airlines
344,Cubana de Aviacion
345,KLM Royal Dutch Airlines
346,American Airlines
347,Trans Continental and Western Air
348,Deruluft
349,Deruluft
350,Misrair
351,Deutsche Lufthansa
352,Air France
353,KLM Royal Dutch Airlines
354,Varney Air Lines
355,Trans Continental and Western Air
356,Knowles Flying Service of Detroit
357,Gor'ky Eskadril'ya
358,Wyoming Air Service
359,Chicago and Southern Airlines
360,
361,Servicio Aereo Columbiano / SCADTA
362,KLM Royal Dutch Airlines
363,Wedell-Williams Air Service Corporation
364,KLM Royal Dutch Airlines
365,China National Aviation Corporation
366,Delta Air Lines
367,Aero Mayflower Transit Co
368,Private
369,Western Air Express
370,Holyman Airways
371,United Air Lines
372,Aero O-Y
373,Chamberlin Flying Service
374,United Air Lines
375,Air France
376,TACA
377,Braniff Airlines
378,Air France
379,Air Bleu
380,Sabena
381,Deutsche Lufthansa
382,Imperial Airways
383,American Airlines
384,Lloyd Aereo Boliviano
385,Air France
386,American Airlines
387,Deutsche Lufthansa
388,China National Aviation Corporation
389,Compania de Mexico
390,American Airlines
391,Trans Continental and Western Air
392,Pan American Airways
393,Avio Linee Italiane
394,Deutsche Lufthansa
395,Sabena
396,Swissair
397,Holyman Airways
398,A B Aerotransport
399,Deutsche Lufthansa
400,Den Norske Luftfartskole
401,Guernsey Airways
402,Air France
403,Mexicana
404,Chicago Southern Airlines
405,SCADTA
406,British Airways
407,Imperial Airways
408,Imperial Airways
409,Varney Air Lines
410,Blue Bird Air Service
411,Mexicana
412,North Sea Aerial and General Transport
413,Deutsche Lufthansa
414,Deruluft
415,Deutsche Lufthansa
416,British Airways
417,Deutsche Lufthansa
418,Air France
419,KLM Royal Dutch Airlines
420,Western Air Express
421,Northwest Orient Airlines
422,Eastern Air Lines
423,Braniff Airways
424,China National Aviation Corporation
425,United Air Lines
426,Western Air Express
427,Sabena
428,United Air Lines
429,Airlines of Australia
430,Deutsche Lufthansa
431,Imperial Airways
432,Trans Continental and Western Air
433,Deutsche Lufthansa
434,Deutsche Zeppelin Reederei
435,Deutsche Lufthansa
436,Private - Purdue Reasearch Foundation
437,KLM Royal Dutch Airlines
438,Ala Littoria
439,Pan American Grace Airways
440,China National Aviation Corporation
441,Eastern Air Lines
442,Pan American Grace Airways
443,Guinea Airways
444,Air France
445,Imperial Airways
446,KLM Royal Dutch Airlines
447,United Air Lines
448,Deutsche Lufthansa
449,Sabena
450,Deutsche Lufthansa
451,Imperial Airways
452,Air France
453,Air France
454,Deutsche Lufthansa
455,Northwest Orient Airlines
456,Pan American World Airways
457,General Airways
458,Military - U.S. Navy / Military - U.S. Navy
459,TsAGI
460,Air France
461,Mexicana
462,Deutsche Lufthansa
463,Trans Continental and Western Air
464,Air France
465,Australian National Airways
466,Ala Littoria
467,Lineas Aéreas Mineras
468,United Airways of New Zealand
469,Northwest Orient Airlines
470,Cruzeiro do Sul
471,United Air Lines
472,Deutsche Lufthansa
473,Ginger Coote Airways
474,Wilson Airways
475,Pan American Grace Airways
476,Northwest Orient Airlines
477,Ala Littoria
478,LOT Polish Airlines
479,Military - Colombian Army
480,Imperial Airways
481,Pan American World Airways
482,Dai Nippon
483,
484,CSA Czech Airlines
485,Syndicato Condor
486,LOT Polish Airlines
487,Macchi
