team,team_code,association,rank,previous_rank,points,previous_points
Malawi,MWI,CAF,124,122,1144.97,1144.77
Zimbabwe,ZIM,CAF,125,123,1138.56,1138.56
The Gambia,GAM,CAF,126,124,1137.47,1137.47
Togo,TOG,CAF,127,126,1128.92,1130.22
Sudan,SDN,CAF,128,130,1127.34,1124.91
Comoros,COM,CAF,129,127,1123.18,1127.44
Tanzania,TAN,CAF,130,131,1119.89,1121.91
Antigua and Barbuda,ATG,CONCACAF,131,132,1117.01,1117.01
Central African Republic,CTA,CAF,132,133,1116.97,1116.06
Philippines,PHI,AFC,133,134,1115.13,1115.13
Latvia,LVA,UEFA,134,129,1114.21,1125.36
Turkmenistan,TKM,AFC,135,135,1100.47,1100.47
Solomon Islands,SOL,OFC,136,137,1095.7,1092.56
Rwanda,RWA,CAF,137,136,1093.66,1095.04
Ethiopia,ETH,CAF,138,138,1091.19,1088.27
Suriname,SUR,CONCACAF,139,143,1077.3,1072.24
St Kitts and Nevis,SKN,CONCACAF,140,140,1076.91,1076.91
Burundi,BDI,CAF,141,141,1076.26,1076.26
Nicaragua,NCA,CONCACAF,142,139,1071.83,1079.18
Eswatini,SWZ,CAF,143,144,1070.89,1070.89
Lithuania,LTU,UEFA,144,142,1069.75,1074.08
Hong Kong,HKG,AFC,145,147,1062.39,1058.37
Malaysia,MAS,AFC,146,148,1062.32,1057.59
Lesotho,LES,CAF,147,145,1061.4,1061.4
Botswana,BOT,CAF,148,146,1056.46,1060.17
Kuwait,KUW,AFC,149,149,1053.41,1053.41
Liberia,LBR,CAF,150,150,1049.66,1051.25
Andorra,AND,UEFA,151,152,1035.2,1028.7
Indonesia,IDN,AFC,152,155,1033.9,1019.19
Dominican Republic,DOM,CONCACAF,153,151,1031.86,1031.86
Maldives,MDV,AFC,154,156,1026.09,1018.25
Yemen,YEM,AFC,155,153,1023.52,1023.52
Afghanistan,AFG,AFC,156,154,1023.04,1023.04
Chinese Taipei,TPE,AFC,157,157,1017.78,1017.78
Myanmar,MYA,AFC,158,158,1007.89,1011.91
Papua New Guinea,PNG,OFC,159,161,1007.46,997.6
Singapore,SGP,AFC,160,159,1003.5,1004.75
New Caledonia,NCL,OFC,161,160,995.58,999.7
Tahiti,TAH,OFC,162,162,995.11,995.11
Fiji,FIJ,OFC,163,163,989.43,993.37
Vanuatu,VAN,OFC,164,164,985.62,990.55
South Sudan,SSD,CAF,165,165,983.99,983.99
Barbados,BRB,CONCACAF,166,166,982.27,982.27
Cuba,CUB,CONCACAF,167,167,978.65,978.65
Malta,MLT,UEFA,168,169,977.92,974.68
Bermuda,BER,CONCACAF,169,168,977.47,977.47
Puerto Rico,PUR,CONCACAF,170,170,974.32,974.32
Guyana,GUY,CONCACAF,171,172,968.74,968.74
St Lucia,LCA,CONCACAF,172,173,965.66,965.66
Grenada,GRN,CONCACAF,173,171,963.72,969
Moldova,MDA,UEFA,174,177,961.23,944.96
Nepal,NEP,AFC,175,176,954.86,950.45
Belize,BLZ,CONCACAF,176,175,950.88,950.88
Cambodia,CAM,AFC,177,174,948.62,954.3
St Vincent and the Grenadines,VIN,CONCACAF,178,179,945.25,939.97
Montserrat,MSR,CONCACAF,179,178,940.78,940.78
Mauritius,MRI,CAF,180,180,932.02,932.02
Chad,CHA,CAF,181,181,930.22,931.98
Macau,MAC,AFC,182,182,922.1,922.1
Mongolia,MNG,AFC,183,184,913.55,913.55
Dominica,DMA,CONCACAF,184,185,911.51,911.51
Bhutan,BHU,AFC,185,186,910.96,910.96
São Tomé and Príncipe,STP,CAF,186,187,908.18,908.18
Laos,LAO,AFC,187,183,905.51,914.66
American Samoa,ASA,OFC,188,188,900.27,900.27
Cook Islands,COK,OFC,189,189,899.33,899.33
Brunei Darussalam,BRU,AFC,190,190,898.41,897.1
Samoa,SAM,OFC,191,191,894.26,894.26
Bangladesh,BAN,AFC,192,192,884.45,883.18
Djibouti,DJI,CAF,193,193,875.05,877.84
Pakistan,PAK,AFC,194,195,866.81,866.81
Cayman Islands,CAY,CONCACAF,195,196,865.72,865.72
Liechtenstein,LIE,UEFA,196,194,862.39,873.99
Tonga,TGA,OFC,197,197,861.81,861.81
Timor-Leste,TLS,AFC,198,199,860.06,860.06
Seychelles,SEY,CAF,199,198,859.56,860.48
Eritrea,ERI,CAF,200,201,855.56,855.56
Aruba,ARU,CONCACAF,201,202,855.37,855.37
Bahamas,BAH,CONCACAF,202,203,854.8,854.8
Somalia,SOM,CAF,203,204,854.72,854.72
Gibraltar,GIB,UEFA,204,200,852.16,856.55
Guam,GUM,AFC,205,205,838.33,838.33
Turks and Caicos Islands,TCA,CONCACAF,206,206,832,832
Sri Lanka,SRI,AFC,207,207,825.25,825.25
US Virgin Islands,VIR,CONCACAF,208,208,823.97,823.97
British Virgin Islands,VGB,CONCACAF,209,209,809.32,809.32
Anguilla,AIA,CONCACAF,210,210,790.74,790.74
San Marino,SMR,UEFA,211,211,762.22,763.82
