Id,ConfirmedCases,Fatalities
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,1,0
35,1,0
36,1,0
37,1,0
38,1,0
39,1,0
40,1,0
41,1,0
42,1,0
43,1,0
44,1,0
45,1,0
46,1,0
47,4,0
48,4,0
49,5,0
50,7,0
51,7,0
52,7,0
53,11,0
54,16,0
55,21,0
56,22,0
57,22,0
58,22,0
59,24,0
60,24,0
61,40,1
62,40,1
63,74,1
64,84,2
65,94,4
66,110,4
67,110,4
68,120,4
69,170,4
70,174,4
71,237,4
72,273,6
73,281,6
74,299,7
75,349,7
76,367,11
77,423,14
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,2,0
126,10,0
127,12,1
128,23,1
129,33,1
130,38,1
131,42,1
132,51,1
133,55,1
134,59,2
135,64,2
136,70,2
137,76,2
138,89,2
139,104,4
140,123,5
141,146,5
142,174,6
143,186,8
144,197,10
145,212,10
146,223,11
147,243,15
148,259,15
149,277,16
150,304,17
151,333,20
152,361,20
153,377,21
154,383,22
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,0,0
181,0,0
182,0,0
183,0,0
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,1,0
190,1,0
191,1,0
192,1,0
193,1,0
194,1,0
195,3,0
196,5,0
197,12,0
198,12,0
199,17,0
200,17,0
201,19,0
202,20,0
203,20,0
204,20,0
205,24,1
206,26,2
207,37,3
208,48,4
209,54,4
210,60,4
211,74,7
212,87,9
213,90,11
214,139,15
215,201,17
216,230,17
217,264,19
218,302,21
219,367,25
220,409,26
221,454,29
222,511,31
223,584,35
224,716,44
225,847,58
226,986,86
227,1171,105
228,1251,130
229,1320,152
230,1423,173
231,1468,193
232,0,0
233,0,0
234,0,0
235,0,0
236,0,0
237,0,0
238,0,0
239,0,0
240,0,0
241,0,0
242,0,0
243,0,0
244,0,0
